sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_boutique,illumination,1,2,1->2,500,500,158,143,138,500,0.965034965034965,0.276,3.18941511366943,0.9428904428904429,0.965034965034965,0.8181818181818182,0.9370629370629371,0.965034965034965,0.9790209790209791,0.9790209790209791,0.9790209790209791,0.008381000021472573,0.007982200011610985,0.0024802000261843204,0.01884340005926788
i_boutique,illumination,1,3,1->3,500,500,39,28,16,500,0.5714285714285714,0.032,36.470070943903615,0.5892857142857143,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.6785714285714286,0.75,0.75,0.008381000021472573,0.008799600065685809,0.002372599905356765,0.019553199992515147
i_boutique,illumination,1,4,1->4,500,500,46,37,30,500,0.8108108108108109,0.06,47.80654481600785,0.7522522522522522,0.8108108108108109,0.5405405405405406,0.6486486486486487,0.8108108108108109,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.008381000021472573,0.007953499909490347,0.0022646000143140554,0.018599099945276976
i_boutique,illumination,1,5,1->5,500,500,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008381000021472573,0.008693199953995645,0.00229199999012053,0.01936619996558875
i_boutique,illumination,1,6,1->6,500,500,7,6,1,500,0.16666666666666666,0.002,226.8516889917831,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.008381000021472573,0.008556399960070848,0.0023705000057816505,0.019307899987325072
i_bridger,illumination,1,2,1->2,500,500,155,139,132,500,0.9496402877697842,0.264,1.353947169039029,0.8944844124700239,0.9496402877697842,0.5899280575539568,0.8561151079136691,0.9496402877697842,0.9856115107913669,0.9928057553956835,0.9928057553956835,0.01619420002680272,0.016906199976801872,0.0024004000006243587,0.03550080000422895
i_bridger,illumination,1,3,1->3,500,500,168,154,150,500,0.974025974025974,0.3,5.135392307948669,0.9415584415584415,0.974025974025974,0.8051948051948052,0.9285714285714286,0.974025974025974,0.9805194805194806,0.9805194805194806,0.9805194805194806,0.01619420002680272,0.01606029993854463,0.002626999979838729,0.03488149994518608
i_bridger,illumination,1,4,1->4,500,500,85,75,71,500,0.9466666666666667,0.142,3.025656492354884,0.8822222222222224,0.9466666666666667,0.6533333333333333,0.7733333333333333,0.9466666666666667,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.01619420002680272,0.01162030000705272,0.002591600059531629,0.030406100093387067
i_bridger,illumination,1,5,1->5,500,500,47,45,41,500,0.9111111111111111,0.082,12.719292057500727,0.8481481481481482,0.9111111111111111,0.6444444444444445,0.7333333333333333,0.9111111111111111,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.01619420002680272,0.011972300009801984,0.002532400074414909,0.03069890011101961
i_bridger,illumination,1,6,1->6,500,366,4,2,1,500,0.5,0.002,264.5456038020198,0.3333333333333333,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.01619420002680272,0.007255799951963127,0.001810500049032271,0.025260500027798116
i_brooklyn,illumination,1,2,1->2,500,500,93,86,75,500,0.872093023255814,0.15,21.31779409238558,0.7926356589147286,0.872093023255814,0.5,0.7325581395348837,0.872093023255814,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.015014000004157424,0.017748799989931285,0.0024141999892890453,0.035176999983377755
i_brooklyn,illumination,1,3,1->3,500,500,197,176,46,500,0.26136363636363635,0.092,6.395431832136695,0.5208333333333334,0.26136363636363635,0.011363636363636364,0.017045454545454544,0.26136363636363635,0.9204545454545454,0.9545454545454546,0.9602272727272727,0.015014000004157424,0.012859100010246038,0.002432200009934604,0.030305300024338067
i_brooklyn,illumination,1,4,1->4,500,500,9,8,2,500,0.25,0.004,368.05034161176815,0.25,0.25,0.0,0.125,0.25,0.375,0.375,0.375,0.015014000004157424,0.014623300055973232,0.0023346999660134315,0.03197200002614409
i_brooklyn,illumination,1,5,1->5,500,500,171,151,24,500,0.15894039735099338,0.048,5.8412823750649565,0.4768211920529801,0.15894039735099338,0.0,0.0,0.15894039735099338,0.8609271523178808,0.9205298013245033,0.9205298013245033,0.015014000004157424,0.013202900066971779,0.0024074999382719398,0.030624400009401143
i_brooklyn,illumination,1,6,1->6,500,500,93,74,10,500,0.13513513513513514,0.02,11.60955021542763,0.45495495495495497,0.13513513513513514,0.013513513513513514,0.013513513513513514,0.13513513513513514,0.8378378378378378,0.8648648648648649,0.8648648648648649,0.015014000004157424,0.01620730001013726,0.0026422999799251556,0.03386359999421984
i_castle,illumination,1,2,1->2,500,500,8,7,5,500,0.7142857142857143,0.01,47.562513219261,0.6190476190476191,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.007315099937841296,0.006994399940595031,0.002623699954710901,0.016933199833147228
i_castle,illumination,1,3,1->3,500,500,14,11,9,500,0.8181818181818182,0.018,20.09163487215968,0.8484848484848485,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.007315099937841296,0.0053125000558793545,0.002468800055794418,0.015096400049515069
i_castle,illumination,1,4,1->4,500,500,15,10,7,500,0.7,0.014,42.43565624388664,0.7000000000000001,0.7,0.5,0.6,0.7,0.8,0.8,0.8,0.007315099937841296,0.004940200014971197,0.0025375999975949526,0.014792899950407445
i_castle,illumination,1,5,1->5,500,500,2,2,2,500,1.0,0.004,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007315099937841296,0.004717300063930452,0.0024831999326124787,0.014515599934384227
i_castle,illumination,1,6,1->6,500,500,1,1,0,500,0.0,0.0,288.4920823177971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007315099937841296,0.005824499996379018,0.002467700047418475,0.01560729998163879
i_chestnuts,illumination,1,2,1->2,500,500,27,26,23,500,0.8846153846153846,0.046,0.698559430993944,0.923076923076923,0.8846153846153846,0.8461538461538461,0.8846153846153846,0.8846153846153846,0.9615384615384616,0.9615384615384616,1.0,0.007295800023712218,0.008621199987828732,0.0024094999535009265,0.018326499965041876
i_chestnuts,illumination,1,3,1->3,500,500,22,21,20,500,0.9523809523809523,0.04,0.5651782807849702,0.9285714285714285,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.9523809523809523,1.0,1.0,1.0,0.007295800023712218,0.010598499909974635,0.0023415000177919865,0.02023579995147884
i_chestnuts,illumination,1,4,1->4,500,500,32,30,26,500,0.8666666666666667,0.052,11.430554104098503,0.8444444444444446,0.8666666666666667,0.7,0.8,0.8666666666666667,0.9,0.9,0.9,0.007295800023712218,0.007765599992126226,0.0023507000878453255,0.01741210010368377
i_chestnuts,illumination,1,5,1->5,500,500,30,29,25,500,0.8620689655172413,0.05,18.580724877902192,0.8103448275862067,0.8620689655172413,0.6551724137931034,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.007295800023712218,0.006921099964529276,0.002240499947220087,0.01645739993546158
i_chestnuts,illumination,1,6,1->6,500,500,12,11,10,500,0.9090909090909091,0.02,34.18125526047501,0.8939393939393939,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.007295800023712218,0.006718100048601627,0.0022968000266700983,0.016310700098983943
