sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_books,illumination,1,2,1->2,972,504,326,291,272,972,0.9347079037800687,0.27983539094650206,6.777871840996852,0.9312714776632304,0.9347079037800687,0.9072164948453608,0.9278350515463918,0.9347079037800687,0.9347079037800687,0.9381443298969072,0.9450171821305842,0.14022280000062892,0.14059330000236514,0.007022300000244286,0.28783840000323835
i_books,illumination,1,3,1->3,972,1774,522,490,467,972,0.9530612244897959,0.48045267489711935,5.783091554595712,0.9534013605442176,0.9530612244897959,0.9306122448979591,0.9530612244897959,0.9530612244897959,0.9571428571428572,0.963265306122449,0.963265306122449,0.14022280000062892,0.1180043000022124,0.018920900001830887,0.2771480000046722
i_books,illumination,1,4,1->4,972,1584,549,503,478,972,0.9502982107355865,0.49176954732510286,6.5992961742794325,0.9486414844267728,0.9502982107355865,0.9284294234592445,0.9443339960238568,0.9502982107355865,0.952286282306163,0.9582504970178927,0.9582504970178927,0.14022280000062892,0.12825259999954142,0.019499600002745865,0.2879750000029162
i_books,illumination,1,5,1->5,972,1343,593,546,529,972,0.9688644688644689,0.5442386831275721,2.6928688601913944,0.9676434676434676,0.9688644688644689,0.9468864468864469,0.9597069597069597,0.9688644688644689,0.9725274725274725,0.978021978021978,0.9798534798534798,0.14022280000062892,0.1176262000008137,0.019142099998134654,0.2769910999995773
i_books,illumination,1,6,1->6,972,707,506,433,405,972,0.9353348729792148,0.4166666666666667,11.406059439699028,0.9341801385681294,0.9353348729792148,0.9260969976905312,0.9284064665127021,0.9353348729792148,0.9353348729792148,0.9399538106235565,0.9399538106235565,0.14022280000062892,0.15362889999960316,0.00973859999794513,0.3035902999981772
i_boutique,illumination,1,2,1->2,3833,3242,1059,931,839,3833,0.9011815252416756,0.21888859900860944,11.114784175702534,0.8848907984246329,0.9011815252416756,0.7937701396348013,0.878625134264232,0.9011815252416756,0.9087003222341569,0.9129967776584318,0.9140708915145005,0.17629030000171042,0.13322470000275644,0.12039419999928214,0.429909200003749
i_boutique,illumination,1,3,1->3,3833,3634,433,391,332,3833,0.8491048593350383,0.0866162274980433,24.65052497644223,0.8154305200341007,0.8491048593350383,0.6521739130434783,0.80306905370844,0.8491048593350383,0.8618925831202046,0.8618925831202046,0.8644501278772379,0.17629030000171042,0.12115439999979571,0.1416875999966578,0.43913229999816394
i_boutique,illumination,1,4,1->4,3833,3187,453,375,299,3833,0.7973333333333333,0.078006783198539,35.34978709121298,0.7897777777777778,0.7973333333333333,0.6853333333333333,0.7706666666666667,0.7973333333333333,0.8186666666666667,0.832,0.8346666666666667,0.17629030000171042,0.18432839999877615,0.14006479999807198,0.5006834999985585
i_boutique,illumination,1,5,1->5,3833,3401,87,70,30,3833,0.42857142857142855,0.007826767545003914,120.89005693978677,0.4261904761904762,0.42857142857142855,0.2857142857142857,0.38571428571428573,0.42857142857142855,0.45714285714285713,0.5,0.5,0.17629030000171042,0.14088139999876148,0.13562779999847407,0.452799499998946
i_boutique,illumination,1,6,1->6,3833,3222,72,61,26,3833,0.4262295081967213,0.006783198539003391,102.76774519781318,0.44808743169398907,0.4262295081967213,0.29508196721311475,0.3770491803278688,0.4262295081967213,0.5081967213114754,0.5409836065573771,0.5409836065573771,0.17629030000171042,0.1152250000013737,0.13552859999981592,0.42704390000290005
